OBJECTNUMMER;Detail;Locatie;Knelpuntnummer;Type_knelpunt;Beschrijving_knelpunt;Diersoorten;Type_oplossing;Beschrijving_oplossing;Beheergebied;Geschatte_kosten;Jaar_realisatie;Status;Foto;SELECTIE;FILTER;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Detail1.jpg";"Geuzenbos, Wethouder Van Essenweg, Amsterdam.";"HA01";"Autoweg";"De Wethouder van Essenweg loopt dwars door het Geuzenbos.";"Amfibieën - Grote grazers - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Wildrooster";"De weg versmallen van twee rijbanen naar één rijbaan. De weg voorzien van rastering en wildroosters. Verkeersborden plaatsen.";"Haven Amsterdam";"";2013;"Gerealiseerd";"wildrooster 2.JPG";"WILD";"GEREALISEERD";"POINT(4.7609951,52.3938948)";"POINT(52.3938948,4.7609951)";"4,7609951";"52,3938948";
3;"";"Spoorlijnweg / Noordzeeweg";"HA04";"Autoweg";"De Noordzeeweg kruist twee groenstroken.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Noordzeeweg voorzien van een Faunapassage.";"Haven Amsterdam";"20.000 - 45.000";0;"Op termijn";"fauna 012 - kopie.JPG";"PASSAGE";"OP_TERMIJN";"POINT(4.8061831,52.3944556)";"POINT(52.3944556,4.8061831)";"4,8061831";"52,3944556";
4;"Detail4.jpg";"NoorderIJ en Zeedijk";"N003";"Autoweg";"De Noorder-IJ en Zeedijk onderbreekt twee groenstroken.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Noorder-IJ en Zeedijk voorzien van een Faunapassage.";"Stadsdeel Noord, Gemeente Zaandam";"20.000 - 50.000";0;"Op termijn";"Foto4.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8627031,52.4296729)";"POINT(52.4296729,4.8627031)";"4,8627031";"52,4296729";
5;"Detail5.jpg";"Zuideinde";"N009";"A10";"De Ring-weg Noord loopt via een viaduct over de Zuideinde.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen.";"Stadsdeel Noord, RWS";"10.000 - 20.000";0;"Op termijn";"Foto5.jpg";"ONDER";"OP_TERMIJN";"POINT(4.888397,52.425038)";"POINT(52.425038,4.888397)";"4,888397";"52,425038";
8;"Detail8.jpg";"Cornelis Douwesweg";"N008";"Autoweg";"De Cornelis Douwesweg doorkruist twee groenstroken.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Cornelis Douwesweg voorzien van een Faunapassage. (Misschien meerdere passages gewenst?)";"Stadsdeel Noord, DIVV";"40.000 - 80.000";0;"Op termijn";"Foto8.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8806121,52.4148223)";"POINT(52.4148223,4.8806121)";"4,8806121";"52,4148223";
9;"Detail9.jpg";"Haarlemmerweg";"NW09";"Autoweg";"De Haarlemmerweg doorkruist twee groengebieden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Haarlemmerweg voorzien van een Faunapassage.";"Provincie Noord-Holland, Stadsdeel Nieuw West";"2.500.000";0;"Op termijn";"Foto9.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.794173,52.384133)";"POINT(52.384133,4.794173)";"4,794173";"52,384133";
10;"";"Haarlemmervaart";"NW12";"Brug";"Een van de bruggen over de Haarlemmervaart, ter hoogte van de Seineweg.";"Amfibieën - Kleine zoogdieren";"Faunarichel";"De brug voorzien van faunarichels.";"V&OR, Haven Amsterdam";"";2015;"Gerealiseerd";"NW12 2016.JPG";"RICHEL";"GEREALISEERD";"POINT(4.8187191,52.3848845)";"POINT(52.3848845,4.8187191)";"4,8187191";"52,3848845";
12;"";"Sloterdijkerweg/Velzerweg";"W01";"Autoweg/fietspad";"Sloterdijkerweg/Velzerweg/Molenwerf kruist Brettenzone";"Amfibieën - Kleine zoogdieren - Reptielen";"Faunapassage";"";"stadsdeel West";"";2016;"Gerealiseerd";"Molenwerf.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.8453538,52.3861815)";"POINT(52.3861815,4.8453538)";"4,8453538";"52,3861815";
13;"";"Haarlemmervaart/Zoutmanbrug";"W02";"Brug";"Een van de bruggen over de Haarlemmervaart, ter hoogte van de Molenwerf.";"Amfibieën - Kleine zoogdieren";"Faunarichel";"De brug voorzien van faunarichels.";"Stadsdeel West";"";2017;"Gerealiseerd";"Zoutmanbrug.jpg";"RICHEL";"GEREALISEERD";"POINT(4.8473642,52.3852812)";"POINT(52.3852812,4.8473642)";"4,8473642";"52,3852812";
17;"nw77b .jpg";"Slotervaart";"NW77";"Beschoeiing";"In de oevers van de Slotervaart is beschoeiing aangelegd.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"Deze dient aan te sluiten op de Faunapassage onder de Plesmalaan.";"Stadsdeel Nieuw West";"";2016;"Gerealiseerd";"";"FUP";"GEREALISEERD";"POINT(4.7961118,52.3465048)";"POINT(52.3465048,4.7961118)";"4,7961118";"52,3465048";
