OBJECTNUMMER;Aantal_kasten;Aantal_volken;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1 kast/volk";1;"POINT(4.9010179,52.3672606)";"POINT(52.3672606,4.9010179)";4.9010179;52.3672606;
2;"1 kast/volk";1;"POINT(4.9048221,52.3603751)";"POINT(52.3603751,4.9048221)";4.9048221;52.3603751;
3;"1 kast/volk";1;"POINT(4.9163749,52.3646094)";"POINT(52.3646094,4.9163749)";4.9163749;52.3646094;
4;"1 kast/volk";1;"POINT(4.8776009,52.3850829)";"POINT(52.3850829,4.8776009)";4.8776009;52.3850829;
5;"2 kasten/volken";2;"POINT(4.867975,52.3829924)";"POINT(52.3829924,4.867975)";4.867975;52.3829924;
6;"6 kasten/volken";6;"POINT(4.8494909,52.3750922)";"POINT(52.3750922,4.8494909)";4.8494909;52.3750922;
7;"5 kasten/volken";5;"POINT(4.856107,52.3707816)";"POINT(52.3707816,4.856107)";4.856107;52.3707816;
8;"14 kasten/volken";14;"POINT(4.8364642,52.3349578)";"POINT(52.3349578,4.8364642)";4.8364642;52.3349578;
9;"4 kasten/volken";4;"POINT(4.8653562,52.3559004)";"POINT(52.3559004,4.8653562)";4.8653562;52.3559004;
10;"1 kast/volk";1;"POINT(4.8746002,52.3358542)";"POINT(52.3358542,4.8746002)";4.8746002;52.3358542;
11;"20 kasten/volken";20;"POINT(4.8934019,52.3232886)";"POINT(52.3232886,4.8934019)";4.8934019;52.3232886;
12;"2 kasten/volken";2;"POINT(4.9737952,52.356671)";"POINT(52.356671,4.9737952)";4.9737952;52.356671;
13;"5 kasten/volken";5;"POINT(4.9117448,52.3966033)";"POINT(52.3966033,4.9117448)";4.9117448;52.3966033;
14;"4 kasten/volken";4;"POINT(4.8809421,52.4218222)";"POINT(52.4218222,4.8809421)";4.8809421;52.4218222;
15;"1 kast/volk";1;"POINT(4.9024789,52.4015814)";"POINT(52.4015814,4.9024789)";4.9024789;52.4015814;
16;"2 kasten/volken";2;"POINT(4.9085209,52.3999259)";"POINT(52.3999259,4.9085209)";4.9085209;52.3999259;
17;"1 kast/volk";1;"POINT(4.9204948,52.3832938)";"POINT(52.3832938,4.9204948)";4.9204948;52.3832938;
18;"30 kasten/volken";30;"POINT(4.96194,52.3867728)";"POINT(52.3867728,4.96194)";4.96194;52.3867728;
19;"4 kasten/volken";4;"POINT(4.9537408,52.3027083)";"POINT(52.3027083,4.9537408)";4.9537408;52.3027083;
20;"21 kasten/volken";21;"POINT(4.9263799,52.4050109)";"POINT(52.4050109,4.9263799)";4.9263799;52.4050109;
21;"2 kasten/volken";2;"POINT(4.9002278,52.3763625)";"POINT(52.3763625,4.9002278)";4.9002278;52.3763625;
22;"10 kasten/volken";10;"POINT(4.7839649,52.3600546)";"POINT(52.3600546,4.7839649)";4.7839649;52.3600546;
23;"6 + 2 kleintjes kasten/volken";6;"POINT(4.7717068,52.37909)";"POINT(52.37909,4.7717068)";4.7717068;52.37909;
24;"120 kasten/volken";120;"POINT(4.7774508,52.3747145)";"POINT(52.3747145,4.7774508)";4.7774508;52.3747145;
25;"3 kasten/volken";3;"POINT(4.8660991,52.3876387)";"POINT(52.3876387,4.8660991)";4.8660991;52.3876387;
26;"2 kasten/volken";2;"POINT(4.8745811,52.3362662)";"POINT(52.3362662,4.8745811)";4.8745811;52.3362662;
27;"3 kasten/volken";3;"POINT(4.9155509,52.332997)";"POINT(52.332997,4.9155509)";4.9155509;52.332997;
28;"14 kasten/volken";14;"POINT(4.9283621,52.349713)";"POINT(52.349713,4.9283621)";4.9283621;52.349713;
29;"1 kast/volk";1;"POINT(4.8926599,52.3491713)";"POINT(52.3491713,4.8926599)";4.8926599;52.3491713;
30;"6 kasten/volken";6;"POINT(4.835212,52.36015)";"POINT(52.36015,4.835212)";4.835212;52.36015;
31;"1 kast/volk";1;"POINT(4.9282272,52.3698508)";"POINT(52.3698508,4.9282272)";4.9282272;52.3698508;
32;"5 kasten/volken";5;"POINT(4.882292,52.3639723)";"POINT(52.3639723,4.882292)";4.882292;52.3639723;
33;"4 kasten/volken";4;"POINT(4.8893688,52.3652274)";"POINT(52.3652274,4.8893688)";4.8893688;52.3652274;
34;"7 kasten/volken";7;"POINT(4.8641961,52.3871199)";"POINT(52.3871199,4.8641961)";4.8641961;52.3871199;
35;"7 kasten/volken";7;"POINT(4.9882948,52.3274924)";"POINT(52.3274924,4.9882948)";4.9882948;52.3274924;
36;"9 kasten/volken";9;"POINT(5.0004714,52.3100449)";"POINT(52.3100449,5.0004714)";5.0004714;52.3100449;
37;"5 kasten/volken";5;"POINT(4.8689811,52.3861357)";"POINT(52.3861357,4.8689811)";4.8689811;52.3861357;
38;"3 kasten/volken";3;"POINT(4.90747,52.3666655)";"POINT(52.3666655,4.90747)";4.90747;52.3666655;
39;"10 kasten/volken";10;"POINT(4.9721858,52.30568)";"POINT(52.30568,4.9721858)";4.9721858;52.30568;
40;"20 kasten/volken";20;"POINT(4.9865601,52.3767401)";"POINT(52.3767401,4.9865601)";4.9865601;52.3767401;
41;"20 kasten/volken";20;"POINT(4.9546549,52.385121)";"POINT(52.385121,4.9546549)";4.9546549;52.385121;
42;"12 kasten/volken";12;"POINT(4.9291279,52.3521697)";"POINT(52.3521697,4.9291279)";4.9291279;52.3521697;
43;"1 kast/volk";1;"POINT(4.8509052,52.3844267)";"POINT(52.3844267,4.8509052)";4.8509052;52.3844267;
44;"1 kast/volk";1;"POINT(4.853317,52.3768355)";"POINT(52.3768355,4.853317)";4.853317;52.3768355;
45;"1 kast/volk";1;"POINT(4.9120848,52.3813063)";"POINT(52.3813063,4.9120848)";4.9120848;52.3813063;
46;"1 kast/volk";1;"POINT(4.8544719,52.3871123)";"POINT(52.3871123,4.8544719)";4.8544719;52.3871123;
47;"3 kasten/volken";3;"POINT(4.8347218,52.3865363)";"POINT(52.3865363,4.8347218)";4.8347218;52.3865363;
48;"8 kasten/volken";8;"POINT(4.7484991,52.4018141)";"POINT(52.4018141,4.7484991)";4.7484991;52.4018141;
49;"3 kasten/volken";3;"POINT(4.804312,52.3902365)";"POINT(52.3902365,4.804312)";4.804312;52.3902365;
50;"2 kasten/volken";2;"POINT(4.7738869,52.4573485)";"POINT(52.4573485,4.7738869)";4.7738869;52.4573485;
51;"16 kasten/volken";16;"POINT(4.8158739,52.3410765)";"POINT(52.3410765,4.8158739)";4.8158739;52.3410765;
52;"3 kasten/volken";3;"POINT(4.7819369,52.3730933)";"POINT(52.3730933,4.7819369)";4.7819369;52.3730933;
53;"60 kasten/volken";60;"POINT(4.879236,52.2909628)";"POINT(52.2909628,4.879236)";4.879236;52.2909628;
54;"12 kasten/volken";12;"POINT(4.894851,52.3222777)";"POINT(52.3222777,4.894851)";4.894851;52.3222777;
55;"20 kasten/volken";20;"POINT(4.8288591,52.3353507)";"POINT(52.3353507,4.8288591)";4.8288591;52.3353507;
56;"2 kasten/volken";2;"POINT(4.8438089,52.3690077)";"POINT(52.3690077,4.8438089)";4.8438089;52.3690077;
57;"14 kasten/volken";14;"POINT(4.8569062,52.3247305)";"POINT(52.3247305,4.8569062)";4.8569062;52.3247305;
58;"6 kasten/volken";6;"POINT(4.8098271,52.3310286)";"POINT(52.3310286,4.8098271)";4.8098271;52.3310286;
59;"1 kast/volk";1;"POINT(4.8657029,52.3600928)";"POINT(52.3600928,4.8657029)";4.8657029;52.3600928;
60;"1 kast/volk";1;"POINT(4.8946459,52.354077)";"POINT(52.354077,4.8946459)";4.8946459;52.354077;
61;"1 kast/volk";1;"POINT(4.8641941,52.3685614)";"POINT(52.3685614,4.8641941)";4.8641941;52.3685614;
62;"7 kasten/volken";7;"POINT(4.8457968,52.3684851)";"POINT(52.3684851,4.8457968)";4.8457968;52.3684851;
63;"3 kasten/volken";3;"POINT(4.9641612,52.289231)";"POINT(52.289231,4.9641612)";4.9641612;52.289231;
64;"1 kast/volk";1;"POINT(4.9014819,52.3718268)";"POINT(52.3718268,4.9014819)";4.9014819;52.3718268;
65;"2 kasten/volken";2;"POINT(4.885443,52.3683364)";"POINT(52.3683364,4.885443)";4.885443;52.3683364;
66;"1 kast/volk";1;"POINT(4.8263352,52.230641)";"POINT(52.230641,4.8263352)";4.8263352;52.230641;
67;"8 kasten/volken";8;"POINT(4.8489888,52.3074042)";"POINT(52.3074042,4.8489888)";4.8489888;52.3074042;
68;"1 kast/volk";1;"POINT(4.8631132,52.285958)";"POINT(52.285958,4.8631132)";4.8631132;52.285958;
69;"4 kasten/volken";4;"POINT(4.8513992,52.2765395)";"POINT(52.2765395,4.8513992)";4.8513992;52.2765395;
