Gebied,Jaar,Waargenomen_bijen,LNG,LAT
Vondelpark,1998,Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone smaragdgroefbij - Meidoornzandbij - Tweekleurige zandbij - Witbaardzandbij,4.8679569,52.3575369
Boris Pasternakstraat,1998,Gewone wespbij,4.942651000000001,52.318402
Kelbergen,1998,Fluitenkruidbij - Gewone franjegroefbij - Gewone maskerbij - Tuinmaskerbij,4.970567,52.311947499999995
Beatixpark,1998,Donkere wespbij - Gewone geurgroefbij - Gewone sachembij - Gewone wespbij - Grasbij - Grijze rimpelrug - Tweekleurige zandbij - Vosje - Witkopdwergzandbij,4.8814108,52.3434607
De Boelelaan,1998,Gewone geurgroefbij - Witbaardzandbij,4.876303900000001,52.3352515
De Borcht,1998,Donkere wespbij - Witbaardzandbij,4.8922679,52.3243414
Gijsbrecht van Amstelpark,1998,Donkere wespbij - Ereprijszandbij - Gewone geurgroefbij - Gewone sachembij - Gewone smaragdgroefbij - Goudpootzandbij - Parkbronsgroefbij - Roodgatje - Roodpotige groefbij - Witbaardzandbij - Witkopdwergzandbij,4.8730862,52.3283316
Oude IJssel,1998,Rosse metselbij - Witbaardzandbij,4.9025791,52.3480727
Sarphatistraat,1998,Grijze rimpelrug - Rosse metselbij - Vosje,4.9002511,52.3595015
Duivendrechtse polder Viaduct A2,1998,Geelschouderwespbij - Vroege zandbij,4.9132111,52.3242232
Omgeving Arena,1998,Rosse metselbij,4.9391749,52.3154494
Rijksstraatweg Duivendrecht,1998,Gewone geurgroefbij - Gewone sachembij - Grasbij,4.9390890999999995,52.3270575
De Slinger Gooise weg,1998,Gewone geurgroefbij - Grote bladsnijder,4.94647,52.331070600000004
De Slinger ?,1998,Gewone franjegroefbij - Gewone geurgroefbij - Parkbronsgroefbij - Roodsprietwespbij - Rosse metselbij - Tweekleurige zandbij - Witbaardzandbij - Witkopdwergzandbij,4.9357741,52.3299185
Leksmondplein,1998,Ereprijszandbij - Fluitenkruidbij - Gewone geurgroefbij - Gewone sachembij - Gewone smaragdgroefbij - Roodpotige groefbij,4.9798911,52.3087966
Leusdenhof,1998,Ereprijszandbij - Rosse metselbij - Witbaardzandbij - Witkopdwergzandbij,4.9785712,52.3085486
Tongerenstraat,1998,Ereprijszandbij,4.9675848,52.2943083
Sportpark de Eendracht,1998,Gewone franjegroefbij - Gewone geurgroefbij - Gewone smaragdgroefbij - Grote bladsnijder - Roodpotige groefbij - Wormkruidbij,4.7845938,52.381172799999995
Alkmaarstraat,1998,Gewone sachembij,4.952307,52.394306799999995
Baanakkerspark,1998,Donkere wespbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Vosje - Witbaardzandbij,4.944668,52.3961531
Barkpad,1998,Grote wolbij,4.907375099999999,52.4040991
Buikslotermeerdijk,1998,Grasbij - Tweekleurige zandbij - Witkopdwergzandbij,4.9293692,52.4096915
Groenstrook rondweg A10 ?,1998,Gewone geurgroefbij - Grasbij - Grote wolbij - Matte bandgroefbij - Tweekleurige zandbij - Witkopdwergzandbij,4.9507301,52.401875200000006
Hilversumstraat ,1998,Gewone geurgroefbij,4.9561908,52.3891875
Markengouw,1998,Tweekleurige zandbij,4.9587009,52.3954321
Nieuwe Purmerweg,1998,Tweekleurige zandbij,4.9247768,52.398106299999995
Noordhollandsch kanaal,1998,Tweekleurige zandbij,4.921922900000001,52.3996359
Het IJ ,1998,Grote bladsnijder,4.9020531,52.383030600000005
Ringweg Noord,1998,Gewone geurgroefbij - Gewone sachembij - Grasbij - Rosse metselbij - Tweekleurige zandbij - Witbaardzandbij,4.9695160000000005,52.3846022
Schellingwouderdijk,1998,Gewone geurgroefbij - Roodpotige groefbij - Tweekleurige zandbij,4.9423082,52.3901564
Waddendijk,1998,Gewone geurgroefbij - Grasbij - Grijze rimpelrug - Tweekleurige zandbij - Vosje - Witkopdwergzandbij,4.9290039000000005,52.39405120000001
Heemtuin Th. Weeversweg,1998,Gewone geurgroefbij - Gewone sachembij - Meidoornzandbij - Roodpotige groefbij - Rosse metselbij - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij,4.9426992,52.3984763
Heemtuin Het Schouw,1998,Donkere wespbij - Gewone wespbij,4.9426558,52.3984419
Werengouw,1998,Donkere wespbij - Gewone franjegroefbij - Gewone maskerbij - Gewone wespbij - Grijze rimpelrug - Rosse metselbij - Tuinmaskerbij - Witbaardzandbij,4.952522,52.392803799999996
Zuiderzeeweg,1998,Gewone smaragdgroefbij - Grasbij - Roodpotige groefbij,4.9684861,52.380070399999994
Baden Powellweg,1998,Gewone geurgroefbij - Grasbij - Grijze rimpelrug - Roodpotige groefbij - Rosse metselbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij - Zwartbronzen zandbij,4.7909019,52.3558089
Eastonstraat,1998,Gewone franjegroefbij - Gewone geurgroefbij - Wespbij spec. - Witkopdwergzandbij,4.8110731,52.356259
Fietspad T106,1998,Grasbij - Tweekleurige zandbij,4.8069522000000005,52.3323294
Ingelandenweg,1998,Tweekleurige zandbij,4.7845509,52.3591086
Jan Smitstraat Ecohof,1998,Gewone geurgroefbij - Grasbij - Witkopdwergzandbij,4.8007028,52.351025299999996
Lelylaan,1998,Donkere wespbij - Meidoornzandbij,4.8184111,52.3577849
Meer en Vaart,1998,Roodgatje - Tweekleurige zandbij - Witbaardzandbij,4.80809,52.3589408
Osdorperweg,1998,Gewone geurgroefbij - Grasbij - Roodpotige groefbij - Witkopdwergzandbij,4.775067099999999,52.3724753
Pieter Calandlaan,1998,Gewone geurgroefbij - Gewone sachembij - Roodpotige groefbij - Tweekleurige zandbij,4.8193982,52.355873700000004
Westgaarde,1998,Gewone geurgroefbij - Gewone maskerbij - Grasbij - Grote bladsnijder - Kleine wespbij - Parkbronsgroefbij - Roodpotige groefbij - Tuinbladsnijder - Tweekleurige zandbij - Wespbij spec. - Witkopdwergzandbij,4.774122,52.3586623
Wiedijktuin,1998,Gewone geurgroefbij - Grote bladsnijder - Meidoornzandbij - Roodpotige groefbij - Rosse metselbij - Witkopdwergzandbij,4.8172419,52.3568999
Bilderdijkpark,1998,Grote bladsnijder - Rosse metselbij,4.869878,52.3716437
Jacob van Lennepkade,1998,Gewone maskerbij - Gewone sachembij - Rosse metselbij - Witbaardzandbij,4.865833,52.3636901
Van Hogendorpstraat,1998,Gewone maskerbij - Resedamaskerbij - Tuinmaskerbij,4.8688371,52.382206599999996
Anthony Fokkerweg,1998,Donkere wespbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Rosse metselbij - Sierlijke wespbij - Witbaardzandbij,4.8442352,52.3453223
Abbenesstraat,1998,Witbaardzandbij,4.8466389,52.3481528
Katwijkstraat,1998,Witbaardzandbij,4.8464458,52.3510481
Valschermkade,1998,Fluitenkruidbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Rosse metselbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij,4.845072,52.3423583
Amstelkade,1998,Donkere wespbij - Gewone geurgroefbij - Gewone sachembij - Meidoornzandbij - Vosje,4.8973319,52.3479315
Graafschapstraat,1998,Glanzende dwergbloedbij - Witbaardzandbij,4.8942959,52.3391425
President Kennedylaan,1998,Gewone franjegroefbij,4.899800099999999,52.340405100000005
